"State","Year","Propulsion","Fraction"
"Newfoundland and Labrador",2048,"PHEV",0.101434969409688
"Newfoundland and Labrador",2049,"BEV",0.900652770400135
"Newfoundland and Labrador",2049,"PHEV",0.0992859384143084
"Newfoundland and Labrador",2050,"BEV",0.902740373978654
"Newfoundland and Labrador",2050,"PHEV",0.0971978302829634
"Northwest Territories",2021,"BEV",0.0890310370579968
"Northwest Territories",2021,"PHEV",0.0309544904235531
"Northwest Territories",2022,"BEV",0.116307993075832
"Northwest Territories",2022,"PHEV",0.028682619296118
"Northwest Territories",2023,"BEV",0.134473805653468
"Northwest Territories",2023,"PHEV",0.0355167208284428
"Northwest Territories",2024,"BEV",0.165982876468299
"Northwest Territories",2024,"PHEV",0.0290096963916706
"Northwest Territories",2025,"BEV",0.18744120874145
"Northwest Territories",2025,"PHEV",0.0325517556486254
"Northwest Territories",2026,"BEV",0.297563569996471
"Northwest Territories",2026,"PHEV",0.0524266922364013
"Northwest Territories",2027,"BEV",0.357239298408975
"Northwest Territories",2027,"PHEV",0.0727497784025284
"Northwest Territories",2028,"BEV",0.435924556708746
"Northwest Territories",2028,"PHEV",0.0740633393061713
"Northwest Territories",2029,"BEV",0.498864183508438
"Northwest Territories",2029,"PHEV",0.091122818094756
"Northwest Territories",2030,"BEV",0.57750419845118
"Northwest Territories",2030,"PHEV",0.102480376518155
"Northwest Territories",2031,"BEV",0.637320065824968
"Northwest Territories",2031,"PHEV",0.122661691205412
"Northwest Territories",2032,"BEV",0.680976264622944
"Northwest Territories",2032,"PHEV",0.139005139197108
"Northwest Territories",2033,"BEV",0.729988176751075
"Northwest Territories",2033,"PHEV",0.149990255564073
"Northwest Territories",2034,"BEV",0.785960286329472
"Northwest Territories",2034,"PHEV",0.154013535074328
"Northwest Territories",2035,"BEV",0.843431627819833
"Northwest Territories",2035,"PHEV",0.156536290338104
"Northwest Territories",2036,"BEV",0.850152048536328
"Northwest Territories",2036,"PHEV",0.14981219036315
"Northwest Territories",2037,"BEV",0.856651965107472
"Northwest Territories",2037,"PHEV",0.143309929670462
"Northwest Territories",2038,"BEV",0.862703992816305
"Northwest Territories",2038,"PHEV",0.137254349160717
"Northwest Territories",2039,"BEV",0.868126808431982
"Northwest Territories",2039,"PHEV",0.13182928109353
"Northwest Territories",2040,"BEV",0.872944090217096
"Northwest Territories",2040,"PHEV",0.127008568730487
"Northwest Territories",2041,"BEV",0.877175766246993
"Northwest Territories",2041,"PHEV",0.122774755235961
"Northwest Territories",2042,"BEV",0.880966666966809
"Northwest Territories",2042,"PHEV",0.118981763054776
"Northwest Territories",2043,"BEV",0.884343374617646
"Northwest Territories",2043,"PHEV",0.1156029830039
"Northwest Territories",2044,"BEV",0.887445826322306
"Northwest Territories",2044,"PHEV",0.112498502319438
"Northwest Territories",2045,"BEV",0.89028971374495
