Year,State_Province,Add_LIB_proj_tonnes,Add_LIB_15_tonnes,Add_LIB_proj_LFP_tonnes,Add_LIB_15_LFP_tonnes,Tonnes_Scrap_proj_down,Tonnes_Scrap_15_down,Tonnes_Prod_proj_down,Tonnes_Prod_15_down,Tonnes_Scrap_proj_mid,Tonnes_Scrap_15_mid,Tonnes_Prod_proj_mid,Tonnes_Prod_15_mid,Cumulative_black_mass_cap,Cumulative_refining_cap,Recycle_Batt_15,Recycle_Batt_15_LFP,Recycle_Batt_Proj,Recycle_Batt_Proj_LFP,Country
2050,ON,390117.4299158621,210209.73218886225,416667.0649526628,224457.08047414175,22195.914016188486,15707.863385584787,545886.4610092298,299060.53212443524,58555.053034120356,46467.24872612925,1093321.513173837,598969.4503658557,68000,32500,112785.2356836,118823.90931332465,192362.05407131964,202862.12454610353,CA
2050,OR,129412.94146873907,70980.97062195644,137190.81229955217,75175.3639769188,0,0,0,0,0,0,0,0,0,0,38669.1629328952,40372.89218907543,64561.160992128134,67504.95044236895,US
2050,PA,288087.20022421307,159197.85733244842,305057.3754822019,168411.3558539083,0,0,0,0,23.22296720899957,18.428937171835962,433.6119315703603,237.55162337456036,15000,20000,95783.37334375932,99885.76253969666,158373.74372203226,165395.95201646493,US
2050,PE,4498.500068161575,2428.2724231271286,4804.508723486196,2592.780774210461,0,0,0,0,0,0,0,0,0,0,1282.3039046168271,1351.3583243509565,2183.016631330814,2302.8138968013777,CA
2050,QC,206606.81797106192,112447.09446722655,220695.73087455763,120088.34065398597,1571.0356563182413,1111.8088421738778,38638.06166852988,21167.623870876545,66.35133488285594,52.65410620524562,1238.8912330581722,678.7189239273154,0,0,65208.868385188965,68697.66233270509,109841.39015620554,115836.56457775283,CA
2050,RI,27309.436712496074,15147.637692480837,28938.231238695837,16037.106017877808,0,0,0,0,0,0,0,0,0,0,8931.153169730183,9325.761374261972,14790.372430455212,15464.422851813611,US
2050,SC,168803.41774751706,92712.8836426542,179075.2882982243,98269.10863718673,1872.6745023313438,1325.2761398712626,46056.56950888762,25231.80765408484,2322.296720899957,1842.893717183596,43361.193157036025,23755.162337456033,21840,56445.69026,49644.157568971204,51874.585496279986,82954.60575733581,86800.45183847222,US
2050,SD,28066.589764759658,15183.07605152697,29775.167035859802,16090.969598423295,0,0,0,0,0,0,0,0,0,0,8180.0083328640885,8546.63301138422,13866.53663099677,14510.12431515157,US
2050,SK,37208.3466149866,19671.77619456072,39757.158330681064,21014.047598821453,0,0,0,0,0,0,0,0,0,0,10311.745656130002,10869.493830624642,17947.383874163028,18936.49942230445,CA
2050,TN,211373.34250801062,115995.02902246731,224170.558123618,122906.31677856838,57248.53931623671,40514.314208816104,1407970.9672012287,771348.2138547412,31848.640743770844,25273.97097851789,594667.7918679226,325785.08348511136,0,0,63360.23169533881,66185.26568657876,105908.80720117205,110785.87884851357,US
2050,TX,1067978.5298541444,584628.7639619207,1132753.2061343729,619516.5663441629,32991.74878268308,23347.985685651438,811399.2950391276,444520.10128840746,3317.5667441427963,2632.7053102622804,61944.56165290861,33935.94619636576,49000,363403.18170400005,306028.6659634123,319827.10908354376,513788.6031887479,537693.1073126805,US
