Year,Scenario,Mineral,Minerals Lost From Non-Recovery,Cum_Tonne
2041,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2041,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2042,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2042,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2042,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2042,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2043,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2043,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2043,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2043,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2044,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2044,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2044,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2044,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2045,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2045,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2045,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2045,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2046,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2046,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2046,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2046,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2047,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2047,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2047,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2047,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2048,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2048,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2048,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2048,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2049,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2049,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
2049,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2049,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2050,Decreasing Batt Cap - Benchmark Chemistry,Lithium,0,13777.799042161514
2050,Decreasing Batt Cap - High LFP Chemistry,Lithium,0,13763.619194889066
