Year,Scenario,Recycling Step,Tonne,Scenario_Recycling
2041,Increasing Batt Cap - High LFP Chemistry,Refining,1.9874647967289019,Increasing Batt Cap - High LFP Chemistry - Refining
2042,Increasing Batt Cap - High LFP Chemistry,Black Mass,6.0857337746628755,Increasing Batt Cap - High LFP Chemistry - Black Mass
2042,Increasing Batt Cap - High LFP Chemistry,Refining,3.2259394111893225,Increasing Batt Cap - High LFP Chemistry - Refining
2043,Increasing Batt Cap - High LFP Chemistry,Black Mass,8.182008821463816,Increasing Batt Cap - High LFP Chemistry - Black Mass
2043,Increasing Batt Cap - High LFP Chemistry,Refining,4.837720938437262,Increasing Batt Cap - High LFP Chemistry - Refining
2044,Increasing Batt Cap - High LFP Chemistry,Black Mass,10.705224038877216,Increasing Batt Cap - High LFP Chemistry - Black Mass
2044,Increasing Batt Cap - High LFP Chemistry,Refining,6.876442636297661,Increasing Batt Cap - High LFP Chemistry - Refining
2045,Increasing Batt Cap - High LFP Chemistry,Black Mass,13.710793224458575,Increasing Batt Cap - High LFP Chemistry - Black Mass
2045,Increasing Batt Cap - High LFP Chemistry,Refining,9.397518302326022,Increasing Batt Cap - High LFP Chemistry - Refining
2046,Increasing Batt Cap - High LFP Chemistry,Black Mass,17.261359483496655,Increasing Batt Cap - High LFP Chemistry - Black Mass
2046,Increasing Batt Cap - High LFP Chemistry,Refining,12.463591041811101,Increasing Batt Cap - High LFP Chemistry - Refining
2047,Increasing Batt Cap - High LFP Chemistry,Black Mass,21.393285296640354,Increasing Batt Cap - High LFP Chemistry - Black Mass
2047,Increasing Batt Cap - High LFP Chemistry,Refining,16.1110233354018,Increasing Batt Cap - High LFP Chemistry - Refining
2048,Increasing Batt Cap - High LFP Chemistry,Black Mass,26.127804754993576,Increasing Batt Cap - High LFP Chemistry - Black Mass
2048,Increasing Batt Cap - High LFP Chemistry,Refining,20.361049274202024,Increasing Batt Cap - High LFP Chemistry - Refining
2049,Increasing Batt Cap - High LFP Chemistry,Black Mass,31.45994506011104,Increasing Batt Cap - High LFP Chemistry - Black Mass
2049,Increasing Batt Cap - High LFP Chemistry,Refining,25.20869605976648,Increasing Batt Cap - High LFP Chemistry - Refining
2050,Increasing Batt Cap - High LFP Chemistry,Black Mass,37.36905268771553,Increasing Batt Cap - High LFP Chemistry - Black Mass
2050,Increasing Batt Cap - High LFP Chemistry,Refining,30.633310167817978,Increasing Batt Cap - High LFP Chemistry - Refining
