Year,Scenario,Mineral,Recycling Scenario,Tonne
2029,Increasing Batt Cap - High LFP Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,3527.54477337501
2029,Increasing Batt Cap - High LFP Chemistry,Nickel,All Material is Recycled in NA,3527.54477337501
2030,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,1160.773718391032
2030,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,1160.773718391032
2030,Decreasing Batt Cap - Benchmark Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,5127.033619794874
2030,Decreasing Batt Cap - Benchmark Chemistry,Copper,All Material is Recycled in NA,5411.868820894586
2030,Decreasing Batt Cap - Benchmark Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2030,Decreasing Batt Cap - Benchmark Chemistry,Graphite,All Material is Recycled in NA,11004.271625025522
2030,Decreasing Batt Cap - Benchmark Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2030,Decreasing Batt Cap - Benchmark Chemistry,Lithium,All Material is Recycled in NA,1056.3202650265964
2030,Decreasing Batt Cap - Benchmark Chemistry,Manganese,Recycling Limited to NA 2025 Online or Planned,0
2030,Decreasing Batt Cap - Benchmark Chemistry,Manganese,All Material is Recycled in NA,531.5674030463931
2030,Decreasing Batt Cap - Benchmark Chemistry,Nickel,Recycling Limited to NA 2025 Online or Planned,5178.734725659103
2030,Decreasing Batt Cap - Benchmark Chemistry,Nickel,All Material is Recycled in NA,5178.734725659103
2030,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,1153.9005949832754
2030,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,1153.9005949832754
2030,Decreasing Batt Cap - High LFP Chemistry,Copper,Recycling Limited to NA 2025 Online or Planned,5135.647665219905
2030,Decreasing Batt Cap - High LFP Chemistry,Copper,All Material is Recycled in NA,5420.961424398785
2030,Decreasing Batt Cap - High LFP Chemistry,Graphite,Recycling Limited to NA 2025 Online or Planned,0
2030,Decreasing Batt Cap - High LFP Chemistry,Graphite,All Material is Recycled in NA,11007.34853715788
2030,Decreasing Batt Cap - High LFP Chemistry,Lithium,Recycling Limited to NA 2025 Online or Planned,0
2030,Decreasing Batt Cap - High LFP Chemistry,Lithium,All Material is Recycled in NA,1055.6870323201338
