"State","Segment","Year","ret_ICE","ret_BEV","ret_PHEV","ret_EV","Growth_seg","add_BEV","add_PHEV","add_ICE","Demand_total","exp_ICE","exp_BEV","exp_PHEV"
"Nevada","SUV",2040,56686.6102303314,9952,2063,12015,13535.6469337403,47229.3787817987,6915.95858258491,28091.9197996881,82237.2571640716,4460.26222717578,783.051403223656,162.322653220499
"Nevada","SUV",2041,55877.1075971832,11178,2291,13469,13120.8523857755,48275.6525878551,6799.2924001898,27392.0149949139,82466.9599829588,4396.56827894429,879.516537905348,180.262335689851
"Nevada","SUV",2042,54945.9092502098,12688,2573,15261,13120.8523857757,49600.6336445872,6739.72546800065,26987.4025233977,83327.7616359855,4323.29896902898,998.327592855883,202.450890322997
"Nevada","SUV",2043,53907.0716385341,14615,2956,17571,13120.8523857755,51071.00657903,6718.71720625814,26809.2002390215,84598.9240243097,4241.56029845581,1149.94938284905,232.586409558795
"Nevada","SUV",2044,52771.0624531076,16919,3441,20360,13120.8523857757,52769.4285612664,6729.45218598149,26753.0340916354,86251.9148388833,4152.1758946452,1331.23459517092,270.747576215092
"Nevada","SUV",2045,51546.7660614842,19650,3994,23644,13120.8523857755,54661.0582997734,6775.12950126647,26875.4306462198,88311.6184472597,4055.84480467109,1546.11737071391,314.259174485056
"Nevada","SUV",2046,50242.4504508737,22616,4568,27184,13120.8523857755,56666.405244036,6827.93227150178,27052.9653211114,90547.3028366492,3953.21757706507,1779.49060845119,359.423111929829
"Nevada","SUV",2047,48862.3290817859,25743,5130,30873,13120.8523857757,58683.0038120901,6890.98329757394,27282.1943578976,92856.1814675616,3844.62573877296,2025.53177986199,403.642855560425
"Nevada","SUV",2048,47421.1308765083,28925,5636,34561,13120.8523857755,60673.4112572443,6949.84472338922,27479.7272816503,95102.9832622838,3731.22820290418,2275.90050625445,443.456361391532
"Nevada","SUV",2049,45930.4853238702,32043,6057,38100,13120.8523857757,62575.3569426342,6999.84404390561,27576.1367231061,97151.3377096459,3613.94001040998,2521.23353230462,476.581827705555
