"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2037,"KS",0,0,0,0,9971.36481152539,8811.25808879809,187237.528842383,127412.196395576
2038,"KS",0,0,0,0,10079.3076322763,8959.46313661716,195791.41740311,132834.295991713
2039,"KS",0,0,0,0,10181.7372751303,9100.50042340638,204663.871648917,138440.791932512
2040,"KS",0,0,0,0,10282.8983226824,9246.65996894749,214252.666177289,144773.105669446
2041,"KS",0,0,0,0,10323.8314972632,9302.75701596934,218392.88623253,147360.073298097
2042,"KS",0,0,0,0,10381.5980152275,9377.55645183093,224515.607500324,150956.856565384
2043,"KS",0,0,0,0,10436.966733101,9450.04233034751,230715.307696818,154613.968491125
2044,"KS",0,0,0,0,10488.5926966524,9517.56179631152,236812.537248864,158183.5921697
2045,"KS",0,0,0,0,10533.4660186184,9575.85972615768,242380.205314734,161400.984487132
2046,"KS",0,0,0,0,10573.2611327597,9627.67588461895,247541.494418704,164372.54058561
2047,"KS",0,0,0,0,10607.796977963,9673.54492145204,252202.184398279,167095.855349358
2048,"KS",0,0,0,0,10639.8221679854,9719.0066651252,256683.670712973,169885.51611684
2049,"KS",0,0,0,0,10665.403946473,9755.54247288977,260379.561597925,172195.883833547
2050,"KS",0,0,0,0,10687.9642225402,9790.82925298225,263728.37878826,174487.716632182
2025,"KY",5744.10546326013,5744.10546326013,109138.003801942,109138.003801942,0,0,0,0
2026,"KY",12126.4448668825,12126.4448668825,230402.452470767,230402.452470767,0,0,0,0
2027,"KY",12126.4448668825,12126.4448668825,230402.452470767,230402.452470767,5939.36106681822,5939.36106681822,47782.9467337784,47782.9467337784
2028,"KY",12126.4448668825,12126.4448668825,230402.452470767,230402.452470767,6529.86643030982,5638.17761535437,58003.3969673547,48640.0066021031
2029,"KY",12126.4448668825,12126.4448668825,230402.452470767,230402.452470767,7004.36982501882,7004.36982501882,62834.6303157567,62834.6303157567
2030,"KY",12126.4448668825,12126.4448668825,230402.452470767,230402.452470767,7221.79928422248,6538.45010981966,70688.3609466048,63300.5500309559
2031,"KY",12126.4448668825,12126.4448668825,230402.452470767,230402.452470767,7524.25691602681,6072.5303946205,83800.0997912569,63766.4697461551
2032,"KY",13744.3431430929,12126.4448668825,265875.267618963,230402.452470767,7517.56224158492,6200.43108638075,97445.6759383154,71841.4258615913
2033,"KY",15335.6747571478,12126.4448668825,313322.337120685,230402.452470767,7913.33990689957,6697.2046079976,114693.409932638,82262.9393237851
2034,"KY",16419.5404845449,13065.9539852856,356675.356631069,249752.273535767,8118.79049334541,6978.13766539371,130415.572898053,91319.9783226101
