"Year","Scenario","Recycling Step","Tonne","Scenario_Recycling"
2043,"Increasing Batt Cap - High LFP Chemistry","Black Mass",15.5249119812681,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2043,"Increasing Batt Cap - High LFP Chemistry","Refining",11.5556122805676,"Increasing Batt Cap - High LFP Chemistry - Refining"
2044,"Increasing Batt Cap - High LFP Chemistry","Black Mass",20.18923511932,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2044,"Increasing Batt Cap - High LFP Chemistry","Refining",15.7354418990665,"Increasing Batt Cap - High LFP Chemistry - Refining"
2045,"Increasing Batt Cap - High LFP Chemistry","Black Mass",25.6611312677293,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2045,"Increasing Batt Cap - High LFP Chemistry","Refining",20.7228445279227,"Increasing Batt Cap - High LFP Chemistry - Refining"
2046,"Increasing Batt Cap - High LFP Chemistry","Black Mass",31.9880082368836,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2046,"Increasing Batt Cap - High LFP Chemistry","Refining",26.5652279775241,"Increasing Batt Cap - High LFP Chemistry - Refining"
2047,"Increasing Batt Cap - High LFP Chemistry","Black Mass",39.1968858087738,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2047,"Increasing Batt Cap - High LFP Chemistry","Refining",33.2896120298613,"Increasing Batt Cap - High LFP Chemistry - Refining"
2048,"Increasing Batt Cap - High LFP Chemistry","Black Mass",47.2991047230222,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2048,"Increasing Batt Cap - High LFP Chemistry","Refining",40.9073374245567,"Increasing Batt Cap - High LFP Chemistry - Refining"
2049,"Increasing Batt Cap - High LFP Chemistry","Black Mass",56.2610920212544,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2049,"Increasing Batt Cap - High LFP Chemistry","Refining",49.3848312032359,"Increasing Batt Cap - High LFP Chemistry - Refining"
2050,"Increasing Batt Cap - High LFP Chemistry","Black Mass",66.0283477460643,"Increasing Batt Cap - High LFP Chemistry - Black Mass"
2050,"Increasing Batt Cap - High LFP Chemistry","Refining",58.6675934084928,"Increasing Batt Cap - High LFP Chemistry - Refining"
