"Year","Scenario","Mineral","Recycling Scenario","Recycle_v_Demand"
2026,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0021875629115772
2027,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.00345422239593389
2027,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.00364612364015244
2028,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.00553304049776694
2028,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.00584043163653177
2029,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.00816763137906517
2029,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.00862138867790212
2030,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0112584932605214
2030,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0118839651083281
2031,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0152528200955129
2031,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0161001989897081
2032,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0204860912858042
2032,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0216242074683488
2033,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0257652025993843
2033,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0271966027437945
2034,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0323216454251654
2034,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0341172923932301
2035,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0401445318354198
2035,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0423747836040542
2036,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0398457818502532
2036,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0557662348270253
2037,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0373441624432822
2037,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0723932762206701
2038,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0350959990437907
2038,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.0918162991286166
2039,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0330008914929802
