Year,State_Province,Origin,Metric Tonnes (millions)
2050,DC,End of Life Batteries,0.013079219392950706
2050,DC,Black Mass,0
2050,DC,Refining,0
2050,DE,LIB Demand,0.03718129059080816
2050,DE,Pack Manufacturing,0
2050,DE,Cell Manufacturing,0
2050,DE,End of Life Batteries,0.018867565968175907
2050,DE,Black Mass,0
2050,DE,Refining,0
2050,FL,LIB Demand,0.8257318070191556
2050,FL,Pack Manufacturing,0
2050,FL,Cell Manufacturing,0.011915799630555153
2050,FL,End of Life Batteries,0.40221629690318983
2050,FL,Black Mass,1.5e-5
2050,FL,Refining,0
2050,GA,LIB Demand,0.36602842817149533
2050,GA,Pack Manufacturing,1.2539927960426116
2050,GA,Cell Manufacturing,1.088309699590704
2050,GA,End of Life Batteries,0.18158179285222778
2050,GA,Black Mass,0.032
2050,GA,Refining,0.129143
2050,HI,LIB Demand,0.04681760864555483
2050,HI,Pack Manufacturing,0
2050,HI,Cell Manufacturing,0
2050,HI,End of Life Batteries,0.02431259985647605
2050,HI,Black Mass,0
2050,HI,Refining,0
2050,IA,LIB Demand,0.09426202161414825
2050,IA,Pack Manufacturing,0
2050,IA,Cell Manufacturing,0
2050,IA,End of Life Batteries,0.049105007445124756
2050,IA,Black Mass,0
2050,IA,Refining,0
2050,ID,LIB Demand,0.08605616263430418
2050,ID,Pack Manufacturing,0
2050,ID,Cell Manufacturing,0
2050,ID,End of Life Batteries,0.038938930039529036
2050,ID,Black Mass,0
2050,ID,Refining,0
2050,IL,LIB Demand,0.30967735590775064
2050,IL,Pack Manufacturing,0.09910009610098244
2050,IL,Cell Manufacturing,0.7149479778333093
2050,IL,End of Life Batteries,0.1762999980100672
2050,IL,Black Mass,0.024
2050,IL,Refining,0
2050,IN,LIB Demand,0.19405400209256157
2050,IN,Pack Manufacturing,0.37122895999428024
2050,IN,Cell Manufacturing,0.8266387397037127
2050,IN,End of Life Batteries,0.10144474583456906
2050,IN,Black Mass,5e-6
2050,IN,Refining,5e-6
2050,KS,LIB Demand,0.07879802933361443
2050,KS,Pack Manufacturing,0
2050,KS,Cell Manufacturing,0.23831599261110312
2050,KS,End of Life Batteries,0.042251553669656175
2050,KS,Black Mass,0
2050,KS,Refining,0
2050,KY,LIB Demand,0.1226409692801599
2050,KY,Pack Manufacturing,0.5648705477755999
2050,KY,Cell Manufacturing,0.20654052692962266
2050,KY,End of Life Batteries,0.06433840352020934
2050,KY,Black Mass,2.7e-4
2050,KY,Refining,2.7e-4
2050,LA,LIB Demand,0.11667043109430603
2050,LA,Pack Manufacturing,0
2050,LA,Cell Manufacturing,0
2050,LA,End of Life Batteries,0.06277675256231693
2050,LA,Black Mass,0
2050,LA,Refining,0
2050,MA,LIB Demand,0.31522014700765205
2050,MA,Pack Manufacturing,0.10903983573991098
2050,MA,Cell Manufacturing,0
