Year,Tonnes,Display metric,Capacity scenario,Policy scenario
2044,0.301570585580929,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2045,0.3049114709046834,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2046,0.3078717868094593,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2047,0.3104191987823115,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2048,0.3127174819953907,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2049,0.3145461313536648,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2050,0.3160940656571575,Mfg. Scrap,Decrease LIB Capacity,Policy Baseline
2025,1.223911541752326,LIB demand,Increase LIB Capacity,Policy Rollback
2025,1.156077799694751,LIB demand,Decrease LIB Capacity,Policy Rollback
2025,2.49692813262351,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2025,2.49692813262351,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2025,0.7358595268247212,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2025,0.6948840702975244,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2025,0.0042042707880399,EoL batteries,Increase LIB Capacity,Policy Rollback
2025,0.0042042707880399,EoL batteries,Decrease LIB Capacity,Policy Rollback
2025,0.32242336185,Preprocessing (black mass prod.),Installed,Policy Rollback
2025,0.1823283618499999,Materials recovery (refining),Installed,Policy Rollback
2026,1.2392895754437765,LIB demand,Increase LIB Capacity,Policy Rollback
2026,1.1104061704876906,LIB demand,Decrease LIB Capacity,Policy Rollback
2026,3.7619832176712538,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2026,3.7619832176712538,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2026,0.7454706603244939,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2026,0.6675792841435657,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2026,0.008757882634927,EoL batteries,Increase LIB Capacity,Policy Rollback
2026,0.0086580810316643,EoL batteries,Decrease LIB Capacity,Policy Rollback
2026,0.49552836185,Preprocessing (black mass prod.),Installed,Policy Rollback
2026,0.369437987779,Materials recovery (refining),Installed,Policy Rollback
2027,1.6399726162355617,LIB demand,Increase LIB Capacity,Policy Rollback
2027,1.3939921943829348,LIB demand,Decrease LIB Capacity,Policy Rollback
2027,4.799877549531148,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2027,4.799877549531148,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2027,1.530843247628786,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2027,1.530843247628786,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2027,0.0177190811411126,EoL batteries,Increase LIB Capacity,Policy Rollback
2027,0.0172306364367086,EoL batteries,Decrease LIB Capacity,Policy Rollback
2027,0.53452836185,Preprocessing (black mass prod.),Installed,Policy Rollback
2027,0.556941492483,Materials recovery (refining),Installed,Policy Rollback
2028,2.1361483327533897,LIB demand,Increase LIB Capacity,Policy Rollback
2028,1.725424598589868,LIB demand,Decrease LIB Capacity,Policy Rollback
2028,5.325356827096056,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2028,5.325356827096056,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2028,1.5780912795040734,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2028,1.5780912795040734,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2028,0.0308778998691942,EoL batteries,Increase LIB Capacity,Policy Rollback
2028,0.0296413690615514,EoL batteries,Decrease LIB Capacity,Policy Rollback
2028,0.78652836185,Preprocessing (black mass prod.),Installed,Policy Rollback
2028,0.8453471827429999,Materials recovery (refining),Installed,Policy Rollback
2029,2.64703591232124,LIB demand,Increase LIB Capacity,Policy Rollback
2029,2.034099852454536,LIB demand,Decrease LIB Capacity,Policy Rollback
2029,5.325356827096056,Pack Mfg.,Increase LIB Capacity,Policy Rollback
2029,5.325356827096056,Pack Mfg.,Decrease LIB Capacity,Policy Rollback
2029,2.571710456543865,Cell Mfg.,Increase LIB Capacity,Policy Rollback
2029,2.571710456543865,Cell Mfg.,Decrease LIB Capacity,Policy Rollback
2029,0.0505605462954362,EoL batteries,Increase LIB Capacity,Policy Rollback
2029,0.0479216534120237,EoL batteries,Decrease LIB Capacity,Policy Rollback
2029,0.83752836185,Preprocessing (black mass prod.),Installed,Policy Rollback
