Year,Scenario,Mineral,Recycling Scenario,Recycle_v_Demand,Capacity key,Chemistry key,Percent
2037,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.1190593056926634,Decreasing Batt Cap,Benchmark Chemistry,11.90593056926634
2038,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.1073774159134397,Decreasing Batt Cap,Benchmark Chemistry,10.73774159134397
2038,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.154888844216235,Decreasing Batt Cap,Benchmark Chemistry,15.4888844216235
2039,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.107930065341085,Decreasing Batt Cap,Benchmark Chemistry,10.7930065341085
2039,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.21473320290504,Decreasing Batt Cap,Benchmark Chemistry,21.473320290504
2040,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.1023890603916978,Decreasing Batt Cap,Benchmark Chemistry,10.23890603916978
2040,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.2567470907716181,Decreasing Batt Cap,Benchmark Chemistry,25.67470907716181
2041,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0976063714341183,Decreasing Batt Cap,Benchmark Chemistry,9.760637143411829
2041,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.3001930978592474,Decreasing Batt Cap,Benchmark Chemistry,30.01930978592474
2042,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0925333723859108,Decreasing Batt Cap,Benchmark Chemistry,9.253337238591081
2042,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.339251647364685,Decreasing Batt Cap,Benchmark Chemistry,33.9251647364685
2043,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0874357658948645,Decreasing Batt Cap,Benchmark Chemistry,8.74357658948645
2043,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.3763489989186079,Decreasing Batt Cap,Benchmark Chemistry,37.63489989186079
2044,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0828912231914561,Decreasing Batt Cap,Benchmark Chemistry,8.28912231914561
2044,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.4133971556475576,Decreasing Batt Cap,Benchmark Chemistry,41.33971556475576
2045,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0789620504689963,Decreasing Batt Cap,Benchmark Chemistry,7.896205046899631
2045,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.4510078279792687,Decreasing Batt Cap,Benchmark Chemistry,45.10078279792687
2046,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0756223157911111,Decreasing Batt Cap,Benchmark Chemistry,7.56223157911111
2046,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.489206319938151,Decreasing Batt Cap,Benchmark Chemistry,48.9206319938151
2047,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0728318702481398,Decreasing Batt Cap,Benchmark Chemistry,7.283187024813979
2047,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5284241714396694,Decreasing Batt Cap,Benchmark Chemistry,52.842417143966934
2048,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0704492889481226,Decreasing Batt Cap,Benchmark Chemistry,7.0449288948122595
2048,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.5665743228906601,Decreasing Batt Cap,Benchmark Chemistry,56.65743228906601
2049,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0684214210574866,Decreasing Batt Cap,Benchmark Chemistry,6.8421421057486596
2049,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.6033579024863159,Decreasing Batt Cap,Benchmark Chemistry,60.3357902486316
2050,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.066678009592345,Decreasing Batt Cap,Benchmark Chemistry,6.6678009592345004
2050,Decreasing Batt Cap - Benchmark Chemistry,Cobalt,All Material is Recycled in NA,0.6370108281883291,Decreasing Batt Cap,Benchmark Chemistry,63.70108281883291
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0052666734127247,Decreasing Batt Cap,High LFP Chemistry,0.5266673412724701
2026,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0052666734127247,Decreasing Batt Cap,High LFP Chemistry,0.5266673412724701
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0071798929448599,Decreasing Batt Cap,High LFP Chemistry,0.71798929448599
2027,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0071798929448599,Decreasing Batt Cap,High LFP Chemistry,0.71798929448599
2028,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0107058354758656,Decreasing Batt Cap,High LFP Chemistry,1.0705835475865602
2028,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0107058354758656,Decreasing Batt Cap,High LFP Chemistry,1.0705835475865602
2029,Decreasing Batt Cap - High LFP Chemistry,Cobalt,Recycling Limited to NA 2025 Online or Planned,0.0154491206310728,Decreasing Batt Cap,High LFP Chemistry,1.54491206310728
2029,Decreasing Batt Cap - High LFP Chemistry,Cobalt,All Material is Recycled in NA,0.0154491206310728,Decreasing Batt Cap,High LFP Chemistry,1.54491206310728
