"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2046,"PA",0,0,0,0,23.1184109397634,19.5687994250291,425.944775535583,266.166617701352
2047,"PA",0,0,0,0,23.2595355950217,19.7733661137256,436.359071168421,272.047783134495
2048,"PA",0,0,0,0,23.3892455817722,19.9667683427246,446.390482850028,277.852085534721
2049,"PA",0,0,0,0,23.4995499499887,20.1306246912509,455.291233401224,282.967048599632
2050,"PA",0,0,0,0,23.5933197188562,20.2759465339734,463.14170464097,287.663625243873
2025,"QC",0,0,0,0,68.8099571649032,66.4499557591708,567.858561674755,542.252581136223
2026,"QC",1063.72323393706,1063.72323393706,20210.7414448042,20210.7414448042,66.5457537240917,62.3934456415963,596.082305765691,545.801388485641
2027,"QC",1063.72323393706,1063.72323393706,20210.7414448042,20210.7414448042,52.2256150497336,52.2256150497336,484.997462956232,484.997462956232
2028,"QC",1063.72323393706,1063.72323393706,20210.7414448042,20210.7414448042,48.6416172405092,48.6416172405092,488.581460765457,488.581460765457
2029,"QC",1063.72323393706,1063.72323393706,20210.7414448042,20210.7414448042,45.0576194312849,45.0576194312849,492.165458574681,492.165458574681
2030,"QC",1063.72323393706,1063.72323393706,20210.7414448042,20210.7414448042,41.4736216220606,41.4736216220606,495.749456383905,495.749456383905
2031,"QC",1063.72323393706,1063.72323393706,20210.7414448042,20210.7414448042,41.4736216220606,41.4736216220606,495.749456383906,495.749456383906
2032,"QC",1063.72323393706,1063.72323393706,20210.7414448042,20210.7414448042,47.3318662562572,41.4736216220606,577.293492651064,495.749456383906
2033,"QC",1119.23346655963,1063.72323393706,21323.5052730953,20210.7414448042,52.9596335674303,41.4736216220606,685.634020019603,495.749456383905
2034,"QC",1223.15777302109,1063.72323393706,23774.0838432432,20210.7414448042,55.9752793637935,43.8547575045105,762.292485064626,525.945715254818
2035,"QC",1313.355038058,1063.72323393706,26408.1336107282,20210.7414448042,58.6655677512595,46.7121833586388,846.750685695173,567.420764264996
2036,"QC",1355.45954127586,1063.72323393706,27848.4447199981,20210.7414448042,59.9214068947266,48.1813957202228,892.932836897754,591.400090542158
2037,"QC",1388.92123520546,1063.72323393706,29110.2244025534,20210.7414448042,60.9194594029362,49.2756848942249,933.390554476325,610.619952891834
2038,"QC",1417.22642449773,1063.72323393706,30270.3865519313,20210.7414448042,61.763710301529,50.1922528878699,970.590006356719,627.706653239308
2039,"QC",1441.99574701996,1063.72323393706,31364.2317322869,20210.7414448042,62.5024978991319,50.9928253731604,1005.66307021513,643.432950537118
