State,Sale Year,Propulsion,Global Segment,Sales
South Dakota,2015,PHEV,SUV,10.151181102362205
Tennessee,2015,BEV,Car,533.5704602211915
Tennessee,2015,BEV,SUV,131.51195148055655
Tennessee,2015,PHEV,Car,208.5244094488189
Tennessee,2015,PHEV,SUV,86.28503937007874
Texas,2015,BEV,Car,2442.110952550838
Texas,2015,BEV,SUV,601.9200856225473
Texas,2015,PHEV,Car,981.2913385826771
Texas,2015,PHEV,SUV,406.0472440944882
Utah,2015,BEV,Car,513.0485194434534
Utah,2015,BEV,SUV,126.45379950053514
Utah,2015,PHEV,Car,208.5244094488189
Utah,2015,PHEV,SUV,86.28503937007874
Vermont,2015,BEV,Car,61.56582233321441
Vermont,2015,BEV,SUV,15.174455940064217
Vermont,2015,PHEV,Car,147.19370078740158
Vermont,2015,PHEV,SUV,60.90708661417323
Virginia,2015,BEV,Car,636.1801641098823
Virginia,2015,BEV,SUV,156.80271138066357
Virginia,2015,PHEV,Car,515.1779527559055
Virginia,2015,PHEV,SUV,213.1748031496063
Washington,2015,BEV,Car,3057.769175882983
Washington,2015,BEV,SUV,753.6646450231895
Washington,2015,PHEV,Car,785.0330708661418
Washington,2015,PHEV,SUV,324.83779527559057
West Virginia,2015,BEV,Car,20.521940777738138
West Virginia,2015,BEV,SUV,5.058151980021406
West Virginia,2015,PHEV,Car,36.798425196850395
West Virginia,2015,PHEV,SUV,15.226771653543308
Wisconsin,2015,BEV,Car,533.5704602211915
Wisconsin,2015,BEV,SUV,131.51195148055655
Wisconsin,2015,PHEV,Car,318.91968503937005
Wisconsin,2015,PHEV,SUV,131.96535433070866
Wyoming,2015,BEV,Car,20.521940777738138
Wyoming,2015,BEV,SUV,5.058151980021406
Wyoming,2015,PHEV,Car,12.266141732283465
Wyoming,2015,PHEV,SUV,5.075590551181103
Alabama,2016,BEV,Car,98.95290759900107
Alabama,2016,BEV,SUV,51.35033892258294
Alabama,2016,PHEV,Car,188.0503937007874
Alabama,2016,PHEV,SUV,70.52598425196851
Alaska,2016,BEV,Car,39.581163039600426
Alaska,2016,BEV,SUV,20.54013556903318
Alaska,2016,PHEV,Car,41.78897637795276
Alaska,2016,PHEV,SUV,15.67244094488189
Arizona,2016,BEV,Car,930.1573314306102
Arizona,2016,BEV,SUV,482.69318587227974
Arizona,2016,PHEV,Car,919.3574803149606
Arizona,2016,PHEV,SUV,344.7937007874016
Arkansas,2016,BEV,Car,39.581163039600426
Arkansas,2016,BEV,SUV,20.54013556903318
Arkansas,2016,PHEV,Car,104.47244094488188
Arkansas,2016,PHEV,SUV,39.181102362204726
California,2016,BEV,Car,28003.6728505173
California,2016,BEV,SUV,14532.145915090972
California,2016,PHEV,Car,24383.86771653543
California,2016,PHEV,SUV,9144.869291338582
Colorado,2016,BEV,Car,1048.9008205494113
Colorado,2016,BEV,SUV,544.3135925793792
Colorado,2016,PHEV,Car,793.9905511811023
Colorado,2016,PHEV,SUV,297.7763779527559
Connecticut,2016,BEV,Car,395.81163039600426
Connecticut,2016,BEV,SUV,205.40135569033177
Connecticut,2016,PHEV,Car,585.0456692913385
Connecticut,2016,PHEV,SUV,219.41417322834644
Delaware,2016,BEV,Car,59.37174455940064
Delaware,2016,BEV,SUV,30.810203353549767
Delaware,2016,PHEV,Car,146.26141732283463
Delaware,2016,PHEV,SUV,54.85354330708661
District of Columbia,2016,BEV,Car,118.74348911880128
