State,Segment,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
British Columbia,Car,2029,67227.52394076264,3759,1108,4867,10640.584452903158,18947.0916267243,3833.1044816389126,57497.912285302584,80278.1083936658
British Columbia,SUV,2029,86319.38207834025,3779,1114,4893,16318.587215806347,24773.167136386626,5011.75271886783,75178.04943889214,104962.96929414659
Manitoba,Car,2029,15009.822965750061,719,217,936,1649.966496585197,4036.568941390371,816.6208727182303,12249.599648226656,17102.78946233526
Manitoba,SUV,2029,24836.32451236319,1050,302,1352,3328.4885888392555,6797.2789665790515,1375.1282245869725,20627.40591003642,28799.813101202446
New Brunswick,Car,2029,12806.803213916051,607,181,788,1838.6436546943528,3544.626232537193,717.0980626129038,10756.722573460307,15018.446868610405
New Brunswick,SUV,2029,15219.159828161239,645,186,831,2667.2277622721094,4313.323396857248,872.6098743266542,13089.454319249446,18275.387590433347
Newfoundland and Labrador,Car,2029,6920.534228924904,329,95,424,0,1680.811422419367,340.0377178193555,5100.685088686181,7121.534228924904
Newfoundland and Labrador,SUV,2029,10810.478707385982,457,131,588,0,2616.6103323772927,529.3551638073803,7940.513211201309,11086.478707385982
Northwest Territories,Car,2029,216.3237787275767,9,0,9,0,52.00041339572604,10.51997961275991,157.80338571909073,220.3237787275767
Northwest Territories,SUV,2029,865.9474268005266,34,10,44,0,209.0996836863022,42.30205619086948,634.5456869233549,885.9474268005266
Nova Scotia,Car,2029,15482.840832485763,734,217,951,2394.3468280963343,4325.313136065258,875.035466813212,13125.839057703628,18326.187660582098
Nova Scotia,SUV,2029,15809.482767034764,669,192,861,2983.9415324234333,4530.940806617685,916.6351149846369,13749.848377855877,19197.4242994582
Nunavut,Car,2029,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2029,0,0,0,0,0,0,0,0,0
Ontario,Car,2029,212098.62140449812,10592,3357,13949,29344.091198988306,58572.08750404298,11849.466690393,177746.15840905043,248167.71260348643
Ontario,SUV,2029,238712.68638632822,10218,3022,13240,40061.672472149345,67269.2732994769,13608.956880597332,204139.1286784033,285017.35885847756
Prince Edward Island,Car,2029,2494.4209466601587,119,33,152,630.5812861525997,754.7866104472537,152.69762748735934,2290.517994878145,3198.0022328127584
Prince Edward Island,SUV,2029,2647.945520323586,113,31,144,816.5679675787437,833.7373421868764,168.66980990046244,2530.106335814991,3532.51348790233
Quebec,Car,2029,157067.76385768474,8247,2858,11105,10204.918677306758,40768.522360472736,8247.70412517086,123718.45604934791,172734.6825349915
Quebec,SUV,2029,127843.031651978,5542,1670,7212,9972.978163426907,33334.499524258645,6743.758991454064,101158.7512996922,141237.00981540492
Saskatchewan,Car,2029,12419.526607688447,590,171,761,1488.8610192220456,3367.362610432351,681.2366228886539,10218.788393589488,14267.387626910493
Saskatchewan,SUV,2029,26675.096321945835,1131,325,1456,3901.854356129218,7377.916116806555,1492.5944250250327,22389.440136243466,31259.950678075053
Yukon,Car,2029,514.6598678048524,23,7,30,92.78226318802943,146.90764797824016,29.720253374305276,445.8142296403364,622.4421309928819
Yukon,SUV,2029,1165.6219407213514,49,12,61,255.86954148288353,342.34233425553964,69.25780280910075,1038.8913451395945,1450.491482204235
Alberta,Car,2030,52782.520769798204,3091,813,3904,14310.414054674591,18969.21683445821,3696.624927641267,46317.09306237331,68982.93482447279
Alberta,SUV,2030,100953.22913750104,5267,1371,6638,32791.10800058474,37656.42843648052,7338.2941034955575,91945.61459810969,136940.33713808577
British Columbia,Car,2030,66539.52212710067,4059,1072,5131,10195.540996698082,21794.989707482917,4247.297237069478,53216.77617924636,79259.06312379875
British Columbia,SUV,2030,86975.34246594479,4550,1194,5744,15636.060754308743,28980.145272292448,5647.5039720996065,70760.75397586147,105388.40322025353
Manitoba,Car,2030,14850.62954174637,866,228,1094,1718.006352114484,4701.579650858831,916.220036300306,11479.836206701717,17097.635893860854
Manitoba,SUV,2030,25020.382409403224,1299,337,1636,3465.7458502346894,8049.647623617494,1568.6745701667028,19654.806065853714,29273.128259637913
New Brunswick,Car,2030,12676.588868997263,737,194,931,1712.7091577974795,4081.1223977558257,795.3084684494921,9964.867160589425,14841.298026794742
New Brunswick,SUV,2030,15336.981023272483,799,208,1007,2484.540929239773,5034.279195317823,981.0548389278933,12292.187918266538,18307.521952512256
Newfoundland and Labrador,Car,2030,6843.065162548775,398,103,501,0,1948.0059594412332,379.6175378091131,4756.441665298429,7084.065162548775
Newfoundland and Labrador,SUV,2030,10885.532911761953,565,147,712,0,3087.6690891454946,601.7093179360369,7539.154504680421,11228.532911761953
Northwest Territories,Car,2030,213.88478177229052,12,0,12,0,60.46483981363402,11.78308182417377,147.63686013448273,219.88478177229052
Northwest Territories,SUV,2030,871.9518407317136,44,11,55,0,246.9225645021104,48.11901909822205,602.9102571313812,897.9518407317136
Nova Scotia,Car,2030,15325.356345024704,893,234,1127,2031.5670056574957,4922.745990106353,959.3198126354266,12019.857547940419,17901.9233506822
Nova Scotia,SUV,2030,15931.951373301777,826,216,1042,2531.8291790259436,5215.289906804928,1016.3292898497584,12734.161355673034,18965.78055232772
Nunavut,Car,2030,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2030,0,0,0,0,0,0,0,0,0
Ontario,Car,2030,209886.08582634077,12393,3329,15722,29433.486754811576,67914.65411328258,13234.86391337175,165827.054554498,246976.57258115234
Ontario,SUV,2030,240506.7380967963,12506,3281,15787,40183.71869445597,79280.81900880123,15449.844576576099,193579.7932058749,288310.45679125225
Prince Edward Island,Car,2030,2470.746756963843,142,38,180,513.8069739021182,844.6287315513734,164.59697049712213,2062.3280288174656,3071.5537308659614
Prince Edward Island,SUV,2030,2669.871849592839,137,34,171,665.3516772863837,939.4074781138427,183.0669727228848,2293.7490760424953,3416.223526879223
Quebec,Car,2030,155381.42015130256,9310,2582,11892,9730.271296966908,47008.18838601651,9160.717730599366,114779.78533165359,170948.69144826947
Quebec,SUV,2030,128765.0155616187,6717,1773,8490,9509.11871396519,39151.73670751111,7629.692207984445,95596.70536008834,142378.1342755839
Saskatchewan,Car,2030,12289.502958211131,716,184,900,1539.6176448773429,3922.682712445043,764.4325448223475,9578.005345821082,14265.120603088473
Saskatchewan,SUV,2030,26875.682553855422,1397,362,1759,4034.8721182699874,8732.825621881077,1701.8088392531129,21322.920210991222,31757.55467212541
Yukon,Car,2030,509.48499701532876,29,7,36,74.22581055042355,165.46096232922844,32.24419454084479,404.00565069567904,601.7108075657522
Yukon,SUV,2030,1174.7757700046511,59,15,74,204.69563318630682,389.2322650293867,75.8516129635986,950.38752519797265,1415.471403190958
Alberta,Car,2031,52229.141251163,3476,818,4294,14109.885959640935,21703.659324372155,4537.9970829214435,42207.37080351034,68449.02721080394
Alberta,SUV,2031,101770.43627764724,6035,1408,7443,32331.61476745553,43674.93114717821,9131.949003646789,84935.17089427778,137742.05104510277
British Columbia,Car,2031,65763.68959190033,4380,1031,5411,10337.145732763334,24979.328080892938,5222.9034869311845,48577.603756839555,78779.83532466367
British Columbia,SUV,2031,87595.05355232797,5136,1202,6338,15853.228264785255,33788.52199409072,7064.809300302004,65708.95052272051,106562.28181711322
Manitoba,Car,2031,14671.393170613343,967,226,1193,1752.026279879127,5393.624478857312,1127.7477122921173,10489.047259343042,17010.41945049247
Manitoba,SUV,2031,25193.97267956061,1473,344,1817,3534.3744809324057,9391.634130925728,1963.6876737254681,18264.025355841823,29619.347160493016
New Brunswick,Car,2031,12529.94891368718,828,194,1022,1536.4008621418564,4619.615749079648,965.9109775096806,8983.823049239709,14569.349775829036
New Brunswick,SUV,2031,15448.82843031718,910,214,1124,2228.779362994502,5779.567745001723,1208.4442155757713,11239.59583273419,18227.607793311683
Newfoundland and Labrador,Car,2031,6755.350995988606,445,103,548,0,2227.8991320176074,465.82926920465695,4332.622594766342,7026.350995988606
Newfoundland and Labrador,SUV,2031,10954.908958284126,640,148,788,0,3596.583352745011,752.0061257556083,6994.319479783508,11342.908958284126
Northwest Territories,Car,2031,211.1242568610366,12,0,12,0,68.84525747103112,14.394788127994754,133.88421126201075,217.1242568610366
Northwest Territories,SUV,2031,877.5015160800718,49,10,59,0,287.74848297981805,60.16505128750952,559.5879818127444,907.5015160800718
Nova Scotia,Car,2031,15147.272267686749,1003,234,1237,1862.2697551860374,5586.4465783994365,1168.0646981131365,10864.030746360213,17618.542022872785
Nova Scotia,SUV,2031,16047.568767558823,944,221,1165,2320.8434141071148,6004.947957398291,1255.568745643165,11677.895478624483,18938.41218166594
Nunavut,Car,2031,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2031,0,0,0,0,0,0,0,0,0
Ontario,Car,2031,207394.3423265267,13720,3235,16955,29925.16231183956,77902.02605077426,16288.459088329822,151497.01949926218,245687.50463836626
Ontario,SUV,2031,242201.77640127845,14177,3324,17501,40854.972917142404,92474.99419433389,19335.506866614734,179837.2482574722,291647.7493184208
Prince Edward Island,Car,2031,2443.9299554500367,164,38,202,490.45211145202194,961.5006962581023,201.03924825001496,1869.8421223939417,3032.382066902059
Prince Edward Island,SUV,2031,2690.745025448811,159,37,196,635.1084192279118,1084.6763027502864,226.7939163727731,2109.3832255536636,3420.8534446767226
Quebec,Car,2031,153474.77508119444,10182,2412,12594,9314.95483916954,53592.70234258761,11205.646166010083,104222.3814117663,169020.72992036399
Quebec,SUV,2031,129625.08041422603,7576,1778,9354,9103.241695686189,45444.944752686424,9502.039432107746,88377.33792511807,143324.32210991223
Saskatchewan,Car,2031,12143.285992269119,804,189,993,1607.2931457510722,4514.735759837444,943.9817222571578,8779.861655925592,14238.579138020192
Saskatchewan,SUV,2031,27065.61490943716,1589,370,1959,4212.229134457679,10221.901069917569,2137.287382921055,19878.655591056217,32237.84404389484
Yukon,Car,2031,503.6155742573777,34,7,41,74.22581055042355,189.8792420405987,39.70166659960224,369.2604761676003,598.8413848078012
Yukon,SUV,2031,1183.4048929405383,67,13,80,204.69563318630682,452.18465831578044,94.54685174101176,879.369016070053,1426.1005261268451
Alberta,Car,2032,51623.89939315984,3717,797,4514,13927.58769142852,24115.35849948777,5300.988304305047,38367.14028079554,67783.48708458836
Alberta,SUV,2032,102487.40515609986,6592,1411,8003,31913.893646428973,49217.02805032078,10818.785467068448,78303.48528513958,138339.29880252882
British Columbia,Car,2032,64906.38048282979,4565,977,5542,10498.979716837906,27808.92167887834,6112.899734756187,44243.538786033154,78165.36019966769
British Columbia,SUV,2032,88112.55517408857,5481,1175,6656,16101.419705329838,38250.29014347651,8408.0997879899,60855.584947952,107513.97487941841
Manitoba,Car,2032,14472.786694591163,1017,217,1234,1786.0462076437702,6003.21032746583,1319.6132968479644,9551.009277921135,16873.83290223493
Manitoba,SUV,2032,25337.284534425435,1572,339,1911,3603.0031116301225,10633.72390357332,2337.483228592621,16918.080513889614,29889.287646055556
New Brunswick,Car,2032,12367.531562261946,881,189,1070,1385.2794658656082,5082.1129726012005,1117.1395784760218,8085.55847705033,14284.811028127553
New Brunswick,SUV,2032,15542.62897564864,981,213,1194,2009.5551633556988,6454.452157792341,1418.8043441228717,10268.927637089128,18142.18413900434
Newfoundland and Labrador,Car,2032,6657.5848901242625,468,101,569,0,2469.9662224450494,542.942874247042,3929.675793432171,6942.5848901242625
Newfoundland and Labrador,SUV,2032,11009.875865818445,677,146,823,0,4063.2096064733196,893.166344689111,6464.499914656014,11420.875865818445
Northwest Territories,Car,2032,208.04259859803702,13,0,13,8.255840797331338,79.44297571583327,17.46299086276354,126.39247281677153,223.29843939536835
Northwest Territories,SUV,2032,881.8964670939009,53,10,63,40.22397983047135,338.73627486323636,74.46030841017837,538.9238636509574,952.1204469243722
