State,Segment,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Prince Edward Island,SUV,2030,2890.091078629594,6,0,6,665.3516772863837,2056.748144085018,364.977994574125,1139.7166172568348,3561.4427559159776
Quebec,Car,2030,143639.3527327295,2684,2432,5116,9730.271296966908,91526.11327130489,16241.66642327804,50717.84433511347,158485.6240296964
Quebec,SUV,2030,139546.53709135385,823,382,1205,9509.11871396519,86776.15958959943,15398.76858279399,48085.72763292564,150260.65580531905
Saskatchewan,Car,2030,11362.146100580085,30,23,53,1539.6176448773429,7481.430452944797,1327.609066338221,4145.724226174409,12954.763745457427
Saskatchewan,SUV,2030,29116.750670766785,37,8,45,4034.8721182699874,19171.189035068855,3402.0024025516536,10623.431351416264,33196.62278903677
Yukon,Car,2030,470.9257246716692,0,0,0,74.22581055042355,314.8273003828648,55.8673345890103,174.45690025021756,545.1515352220927
Yukon,SUV,2030,1272.3038357424332,0,0,0,204.69563318630682,852.9733944165105,151.36346169293225,472.6626128192973,1476.99946892874
Alberta,Car,2031,47220.45294754032,342,190,532,14109.885959640935,39426.10990441124,7588.139112277211,14848.089890492807,61862.338907181256
Alberta,SUV,2031,111568.86531051625,337,127,464,32331.61476745553,92006.37994608027,17707.991276354027,34650.108855537495,144364.4800779718
British Columbia,Car,2031,59497.969553355244,2901,911,3812,10337.145732763334,46936.78436196811,9033.679713395255,17676.651210755226,73647.11528611858
British Columbia,SUV,2031,96161.929891167,1058,361,1419,15853.228264785255,72293.86514275133,13914.025679871284,27226.26733332965,113434.15815595226
Manitoba,Car,2031,13283.176546542558,83,55,138,1752.026279879127,9670.186624110658,1861.1707196916211,3641.8454826194047,15173.202826421684
Manitoba,SUV,2031,27665.617578055993,65,22,87,3534.3744809324057,19939.82783849974,3837.715358685812,7509.448861802849,31286.9920589884
New Brunswick,Car,2031,11339.185311372197,46,45,91,1536.4008621418564,8263.865553629097,1590.5033892039455,3112.217230681011,12966.586173514053
New Brunswick,SUV,2031,16954.213115726725,42,15,57,2228.779362994502,12262.033273010502,2360.010016219352,4617.949189491373,19239.992478721226
Newfoundland and Labrador,Car,2031,6120.493491355102,23,18,41,0,3926.843437490546,755.7792120007554,1478.8708418638012,6161.493491355102
Newfoundland and Labrador,SUV,2031,12038.210511004994,24,6,30,0,7691.312717263274,1480.3071111028019,2896.5906826389187,12068.210511004994
Northwest Territories,Car,2031,191.3487482720472,0,0,0,0,121.95039684426636,23.471161073087966,45.927190354692875,191.3487482720472
Northwest Territories,SUV,2031,964.3004147618528,0,0,0,0,614.568003811068,118.28271970476911,231.44969124601573,964.3004147618528
Nova Scotia,Car,2031,13708.217493564156,58,50,108,1862.2697551860374,9992.214525409394,1923.1497614741857,3763.1229618666125,15678.487248750193
Nova Scotia,SUV,2031,17612.14084839751,45,14,59,2320.8434141071148,12741.292726151172,2452.2506001907987,4798.440936162654,19991.984262504626
Nunavut,Car,2031,0,0,0,0,0,0,0,0,0
Nunavut,SUV,2031,0,0,0,0,0,0,0,0,0
Ontario,Car,2031,187709.86220206492,3101,2211,5312,29925.16231183956,142088.61233868235,27347.05907608997,53511.353099132146,222947.02451390447
Ontario,SUV,2031,265922.9678453829,1332,656,1988,40854.972917142404,196782.7296912808,37873.75248056141,74109.45859068309,308765.9407625253
Prince Edward Island,Car,2031,2210.1975583500007,12,6,18,490.45211145202194,1732.6499865132528,333.474166292951,652.5255169958191,2718.649669802023
