State,Year,ret_ICE,ret_BEV,ret_PHEV,ret_EV,Growth_seg,add_BEV,add_PHEV,add_ICE,Demand_total
Newfoundland and Labrador,2028,18089.535197134268,2,6,8,0,3582.4971637743743,668.4574428468226,13846.58059051307,18097.535197134268
Newfoundland and Labrador,2029,18170.527852201354,10,8,18,0,4292.822921050263,868.4625113835918,13027.242419767499,18188.527852201354
Newfoundland and Labrador,2030,18256.643654221858,18,13,31,0,5028.812977454956,979.989610068519,12278.841066698384,18287.643654221858
Newfoundland and Labrador,2031,18343.071757359474,29,18,47,0,5831.0814431777535,1219.2151647765272,11339.775149405194,18390.071757359474
Newfoundland and Labrador,2032,18423.686296403503,44,23,67,0,6578.4389106874505,1446.0588560970436,10466.188529619008,18490.686296403503
Newfoundland and Labrador,2033,18493.382596221247,72,37,109,0,7751.74602483954,1602.1101707949101,9248.526400586798,18602.382596221247
Newfoundland and Labrador,2034,18545.69035626111,112,50,162,0,8411.883292051538,1659.9503360642243,8635.856728145349,18707.69035626111
Newfoundland and Labrador,2035,18577.532524188442,184,69,253,0,8997.034179319782,1682.1109508553143,8151.3873940133435,18830.532524188442
Newfoundland and Labrador,2036,18583.62712452454,292,102,394,0,9532.462068291756,1692.632912575441,7752.532143657345,18977.62712452454
Newfoundland and Labrador,2037,18557.119225189592,501,148,649,0,10062.646355829347,1696.2769947712186,7447.195874589027,19206.119225189592
Newfoundland and Labrador,2038,18489.237252299532,797,209,1006,0,10578.962896715559,1695.5593794035603,7220.714976180414,19495.237252299532
Newfoundland and Labrador,2039,18455.894183044795,1189,288,1477,0,11133.79738450933,1702.391922173786,7096.704876361682,19932.894183044795
Newfoundland and Labrador,2040,18176.903851006333,1673,375,2048,0,11567.281762790233,1693.542975347259,6964.0791128688425,20224.903851006333
Newfoundland and Labrador,2041,17919.418100433264,2239,477,2716,0,12039.423134250665,1694.6998307115996,6901.2951354709985,20635.418100433264
Newfoundland and Labrador,2042,17579.30485306732,2862,593,3455,0,12488.735134236675,1695.348054351285,6850.221664479362,21034.30485306732
Newfoundland and Labrador,2043,17152.673678346633,3533,722,4255,0,12905.590943082134,1695.139300454719,6806.943434809782,21407.673678346633
Newfoundland and Labrador,2044,16639.71280118343,4235,868,5103,0,13277.6189288784,1691.5030765532363,6773.590795751793,21742.71280118343
Newfoundland and Labrador,2045,16049.521578347178,4983,1012,5995,0,13623.613878341579,1686.4318454415784,6734.47585456402,22044.52157834718
Newfoundland and Labrador,2046,15401.871362316824,5746,1157,6903,0,14063.13652431144,1677.976114523779,6563.758723481606,22304.871362316822
Newfoundland and Labrador,2047,14707.512524288471,6504,1301,7805,0,14347.804201227718,1667.4381890232216,6497.270134037529,22512.512524288468
Newfoundland and Labrador,2048,13992.46307319939,7251,1412,8663,0,14587.380974292826,1652.9290406914854,6415.15305821508,22655.46307319939
Newfoundland and Labrador,2049,13272.186480184457,7961,1509,9470,0,14785.527227462686,1636.246778591919,6320.412474129851,22742.186480184457
Newfoundland and Labrador,2050,12564.290337348571,8630,1577,10207,0,14929.82779895418,1613.6086379956387,6227.85390039875,22771.29033734857
Northwest Territories,2020,1055.838158967008,0,0,0,0,2.024938913237401,1.723911491791577,1729,1732.748850405029
Northwest Territories,2021,1061.516460292599,0,0,0,0,4.22895786007476,4.84047966631909,1830,1839.0694375263938
Northwest Territories,2022,1067.923920527928,0,0,0,0,11.127240709802681,6.09738366020172,1668,1685.2246243700044
Northwest Territories,2023,1074.381550770931,0,0,0,0,16.60463569288229,10.67154915590864,1882,1909.276184848791
Northwest Territories,2024,1082.450786608854,0,0,0,0,20.09838849263156,16.08177405722206,1991,2027.1801625498535
Northwest Territories,2025,1092.3372409043855,0,0,0,0,100.1703383977832,19.938921591483606,972.2279809151187,1092.3372409043855
Northwest Territories,2026,1100.7684595253138,0,0,0,0,132.40050502151394,26.59261338008741,941.7753411237125,1100.7684595253138
Northwest Territories,2027,1110.7282832640055,0,0,0,0,176.3259426488963,39.114426386781346,895.287914228328,1110.7282832640055
Northwest Territories,2028,1122.3291185493779,0,0,0,0,222.17063485314958,41.454775163904294,858.703708532324,1122.3291185493779
Northwest Territories,2029,1135.6046108291116,0,0,0,0,268.0233134990944,54.22264189127728,813.3586554387399,1135.6046108291116
Northwest Territories,2030,1150.3362279882501,0,0,0,0,316.32428218320075,61.64367443006499,772.3682713749845,1150.3362279882501
Northwest Territories,2031,1166.1646472455482,0,0,0,0,369.7647906959456,77.31376153978589,719.0860950098165,1166.1646472455482
Northwest Territories,2032,1182.510677087008,0,0,0,48.47982062780269,437.94998514623586,96.26926131660356,696.7712512519712,1230.9904977148108
Northwest Territories,2033,1198.824963763696,0,0,0,0,499.55894624064683,103.24750915717664,596.0185083658723,1198.824963763696
Northwest Territories,2034,1214.0731450313276,3,0,3,48.47982062780269,569.0538834192005,112.29366269416931,584.2054195457604,1265.5529656591302
Northwest Territories,2035,1227.7215869028257,6,0,6,48.47982062780269,612.6226049904118,114.53765452670446,555.041148013512,1282.2014075306283
Northwest Territories,2036,1238.8415499128218,10,2,12,0,628.2977081248757,111.56376726694499,510.98007452100114,1250.8415499128218
Northwest Territories,2037,1246.4501010954912,25,3,28,48.47982062780269,693.121593163238,116.84065716777096,512.9676713922847,1322.9299217232938
Northwest Territories,2038,1249.7505954880555,42,8,50,48.47982062780269,731.6084110046254,117.25965157837545,499.3623535328573,1348.2304161158581
Northwest Territories,2039,1253.7250684312783,66,12,78,0,743.8536996999595,113.73752242071215,474.1338463106066,1331.7250684312783
Northwest Territories,2040,1239.0201347964176,96,17,113,48.47982062780269,800.9915751644501,117.27160133642974,482.23677892334035,1400.4999554242202
Northwest Territories,2041,1224.2108782225762,134,25,159,48.47982062780269,835.2983223765574,117.5787169983324,478.8136594754889,1431.6906988503788
Northwest Territories,2042,1202.3816700650852,173,32,205,48.47982062780269,864.3912254959583,117.34126527557792,474.12899992135146,1455.8614906928879
Northwest Territories,2043,1173.6004325219278,218,39,257,0,862.435791134046,113.28026822775881,454.8843731601229,1430.6004325219278
Northwest Territories,2044,1138.1595039440294,266,49,315,48.47982062780269,917.0058447903484,116.82201575363342,467.8114640278502,1501.639324571832
Northwest Territories,2045,1097.1539672650852,315,58,373,48.47982062780269,938.5225383696986,116.1772720883951,463.933977434794,1518.6337878928878
Northwest Territories,2046,1052.1993772118358,371,67,438,48.47982062780269,970.1313795915667,115.75350065687807,452.79431759119376,1538.6791978396384
Northwest Territories,2047,1004.1892620719865,429,79,508,0,963.7571738827334,112.00358564550625,436.4285025437471,1512.1892620719866
Northwest Territories,2048,955.0245323400923,478,86,564,48.47982062780269,1009.2834166190347,114.36418042127684,443.85675592758344,1567.5043529678949
Northwest Territories,2049,905.8405893470991,527,93,620,0,992.0047748362435,109.78063833657107,424.0551761742844,1525.840589347099
Northwest Territories,2050,857.7464743708131,576,100,676,0,1005.5895125122533,108.68363289369343,419.47332896486637,1533.7464743708133
Nova Scotia,2020,31796.65731125766,0,0,0,0,102.5969049373618,62.2175329310233,37393,37557.81443786839
Nova Scotia,2021,31720.555637077934,0,0,0,0,241.8194994533655,169.7015224191868,38830,39241.521021872555
Nova Scotia,2022,31667.22381164796,0,0,0,0,568.37945545672,205.351171127508,34389,35162.73062658423
Nova Scotia,2023,31613.303640444974,0,0,0,0,1032.54616163897,418.265440527419,37694,39144.81160216639
Nova Scotia,2024,31585.117653791458,0,0,0,0,1459.8387180128711,769.717852425081,39445,41674.556570437955
Nova Scotia,2025,31581.80411726856,0,0,0,0,2896.138561585677,576.4768355699882,28109.188720112892,31581.80411726856
Nova Scotia,2026,31574.39473367055,0,5,5,2118.719657174454,4053.211486041878,814.0866681628366,28830.81623664029,33698.114390845
Nova Scotia,2027,31586.969843821505,9,7,16,3748.5040088471105,5611.977335070714,1244.9062858209127,28494.590231776987,35351.47385266861
Nova Scotia,2028,31612.65220636039,16,12,28,5704.245230854299,7392.608313393515,1379.3853346510048,28572.903789170174,37344.89743721469
Nova Scotia,2029,31647.89228408385,22,21,43,5378.288360519768,8748.99989866126,1769.972478209563,26550.208267732793,37069.18064460362
Nova Scotia,2030,31678.035819452947,42,38,80,4563.396184683439,9987.81975828699,1946.375741997057,24387.236503852335,36321.43200413638
Nova Scotia,2031,31695.370950418364,70,59,129,4183.113169293152,11417.169831430543,2387.2049692592254,22203.10931902175,36007.48411971152
Nova Scotia,2032,31694.329572852454,112,73,185,3802.830153902866,12694.656336769294,2790.5131399898264,20196.990249996197,35682.15972675532
Nova Scotia,2033,31672.62094302211,173,103,276,3313.894848401069,14694.142817357795,3036.9462032638266,17531.426770801554,35262.515791423175
Nova Scotia,2034,31626.74694595278,285,132,417,2879.285687955027,15703.08622425007,3098.7523661698574,16121.194043487882,34923.03263390781
Nova Scotia,2035,31561.366643482324,462,182,644,2824.9595428992716,16737.12846977381,3129.2208658706377,15163.976850737148,35030.32618638159
Nova Scotia,2036,31477.521418135504,719,272,991,2770.6333978435164,17700.62739655586,3143.0142905372218,14395.513128885932,35239.15481597902
Nova Scotia,2037,31371.868067348754,1130,358,1488,2716.307252787761,18639.396472661632,3142.0739947478614,13794.704852727024,35576.17532013652
Nova Scotia,2038,31235.5657571818,1690,472,2162,2716.307252787761,19596.956820010055,3140.9320808045213,13375.984109154986,36113.87300996956
Nova Scotia,2039,31195.54231918626,2439,623,3062,2716.307252787761,20652.261828081595,3157.7944610039776,13163.793282888448,36973.849571974024
Nova Scotia,2040,30791.142149441097,3388,787,4175,2716.307252787761,21551.821109200442,3155.359746041406,12975.268546987014,37682.449402228856
Nova Scotia,2041,30456.45215675963,4485,985,5470,2770.6333978435164,22577.2303127885,3178.0283791313786,12941.826862683269,38697.085554603145
Nova Scotia,2042,30012.340015634865,5699,1200,6899,2770.6333978435164,23560.448468658833,3198.3351429628856,12923.189801856657,39681.97341347838
Nova Scotia,2043,29442.19327139049,6997,1442,8439,2824.9595428992716,24539.65643259881,3223.2647247240393,12943.231656966911,40706.15281428976
Nova Scotia,2044,28735.844428342243,8342,1707,10049,2933.611833010782,25476.20297450543,3245.542438075593,12996.710848772003,41718.45626135303
Nova Scotia,2045,27897.47304556962,9737,1985,11722,2933.611833010782,26297.99860512741,3255.361074903264,12999.725198549726,42553.0848785804
Nova Scotia,2046,26950.186511305248,11126,2251,13377,2987.9379780665377,27310.021177289083,3258.559222788557,12746.544089294146,43315.12448937178
Nova Scotia,2047,25906.095469283606,12471,2489,14960,3042.264123122293,27983.928739595452,3252.168123071626,12672.262729738815,43908.3595924059
Nova Scotia,2048,24803.853415719223,13778,2683,16461,3096.590268178048,28563.409959700293,3236.5844085904428,12561.449315606536,44361.443683897276
Nova Scotia,2049,23669.118042597936,15024,2842,17866,3150.9164132338033,29052.025393851978,3215.0549811958604,12418.954080783904,44686.034455831745
Nova Scotia,2050,22532.47262113972,16194,2964,19158,3150.9164132338033,29399.9244940048,3177.529758465722,12263.934781903004,44841.389034373526
